Time,Open,High,Low,Close,Volume,Returns,Profitability
2023-02-24 14:45:00,5.367,5.383,5.358,5.369,5353.47,,-5.978766995716144
2023-02-24 15:00:00,5.375,5.375,5.319,5.321,13314.44,-0.00894021233004283,-5.978766995716144
2023-02-24 15:15:00,5.319,5.335,5.302,5.317,24921.44,-0.0007517383950383927,-5.978766995716144
2023-02-24 15:30:00,5.318,5.318,5.243,5.251,27851.76,-0.012413014858002613,-5.978766995716144
2023-02-24 15:45:00,5.252,5.295,5.249,5.263,22749.64,0.002285278994477169,-5.978766995716144
2023-02-24 16:00:00,5.264,5.275,5.167,5.208,48194.97,-0.010450313509405174,-5.978766995716144
2023-02-24 16:15:00,5.206,5.23,5.187,5.22,14513.76,0.0023041474654377225,-5.978766995716144
2023-02-24 16:30:00,5.22,5.276,5.204,5.276,11669.9,0.01072796934865905,-5.978766995716144
2023-02-24 16:45:00,5.274,5.309,5.258,5.294,20818.19,0.0034116755117512554,-5.978766995716144
2023-02-24 17:00:00,5.291,5.293,5.241,5.248,14488.01,-0.008689081979599389,-5.978766995716144
2023-02-24 17:15:00,5.248,5.272,5.239,5.24,8052.93,-0.0015243902439023849,-5.978766995716144
2023-02-24 17:30:00,5.238,5.252,5.227,5.24,6063.83,0.0,-5.978766995716144
2023-02-24 17:45:00,5.235,5.239,5.203,5.203,10407.21,-0.007061068702290063,-5.978766995716144
2023-02-24 18:00:00,5.202,5.222,5.195,5.196,9697.18,-0.0013453776667308182,-5.978766995716144
2023-02-24 18:15:00,5.199,5.241,5.198,5.232,5888.84,0.006928406466512715,-5.978766995716144
2023-02-24 18:30:00,5.231,5.234,5.216,5.232,4404.02,0.0,-5.978766995716144
2023-02-24 18:45:00,5.232,5.242,5.228,5.228,6014.28,-0.00076452599388388,-5.978766995716144
2023-02-24 19:00:00,5.225,5.232,5.205,5.212,8492.52,-0.003060443764345888,-5.978766995716144
2023-02-24 19:15:00,5.214,5.219,5.192,5.203,7871.39,-0.0017267843438218966,-5.978766995716144
2023-02-24 19:30:00,5.201,5.211,5.157,5.192,19943.07,-0.0021141649048626032,-5.978766995716144
2023-02-24 19:45:00,5.192,5.237,5.188,5.233,9308.45,0.007896764252696364,-5.978766995716144
2023-02-24 20:00:00,5.234,5.271,5.226,5.257,20451.73,0.0045862793808522095,-5.978766995716144
2023-02-24 20:15:00,5.258,5.279,5.249,5.261,15754.74,0.0007608902415827679,-5.978766995716144
2023-02-24 20:30:00,5.259,5.267,5.238,5.251,8433.04,-0.0019007793195209288,-5.978766995716144
2023-02-24 20:45:00,5.251,5.255,5.237,5.249,3703.66,-0.0003808798324129725,-5.978766995716144
2023-02-24 21:00:00,5.249,5.253,5.236,5.239,2208.96,-0.0019051247856733955,-5.978766995716144
2023-02-24 21:15:00,5.239,5.239,5.178,5.192,17333.26,-0.00897117770566902,-5.978766995716144
2023-02-24 21:30:00,5.188,5.19,5.13,5.131,16738.83,-0.011748844375963019,-5.978766995716144
2023-02-24 21:45:00,5.132,5.133,5.058,5.065,23047.84,-0.012862989670629488,-5.978766995716144
