Time,Open,High,Low,Close,Volume,Returns,Profitability
2023-02-24 14:45:00,4.92,4.93,4.91,4.93,408.46,,0.2028397565923058
2023-02-24 15:00:00,4.91,4.91,4.9,4.91,169.13,-0.0040567951318457585,0.2028397565923058
2023-02-24 15:15:00,4.89,4.9,4.88,4.88,61.7,-0.006109979633401319,0.2028397565923058
2023-02-24 15:30:00,4.88,4.89,4.86,4.86,431.1,-0.004098360655737654,0.2028397565923058
2023-02-24 15:45:00,4.86,4.86,4.84,4.85,147.87,-0.002057613168724437,0.2028397565923058
2023-02-24 16:00:00,4.84,4.85,4.67,4.79,1819.84,-0.012371134020618513,0.2028397565923058
2023-02-24 16:15:00,4.79,4.79,4.72,4.77,1240.32,-0.0041753653444677186,0.2028397565923058
2023-02-24 16:30:00,4.78,4.82,4.77,4.82,209.19,0.01048218029350112,0.2028397565923058
2023-02-24 16:45:00,4.82,4.83,4.82,4.82,392.64,0.0,0.2028397565923058
2023-02-24 17:00:00,4.82,4.82,4.8,4.81,237.74,-0.0020746887966806016,0.2028397565923058
2023-02-24 17:15:00,4.81,4.81,4.81,4.81,36.38,0.0,0.2028397565923058
2023-02-24 17:30:00,4.78,4.78,4.78,4.78,413.07,-0.006237006237006071,0.2028397565923058
2023-02-24 17:45:00,4.78,4.78,4.78,4.78,83.68,0.0,0.2028397565923058
2023-02-24 18:00:00,4.79,4.79,4.78,4.78,281.52,0.0,0.2028397565923058
2023-02-24 18:15:00,4.78,4.79,4.78,4.79,142.71,0.0020920502092049986,0.2028397565923058
2023-02-24 18:30:00,4.79,4.79,4.79,4.79,119.14,0.0,0.2028397565923058
2023-02-24 18:45:00,4.79,4.79,4.79,4.79,5.0,0.0,0.2028397565923058
2023-02-24 19:00:00,4.79,4.79,4.79,4.79,48.84,0.0,0.2028397565923058
2023-02-24 19:15:00,4.79,4.79,4.79,4.79,77.88,0.0,0.2028397565923058
2023-02-24 19:30:00,4.8,4.82,4.8,4.82,324.11,0.006263048016701411,0.2028397565923058
2023-02-24 19:45:00,4.82,4.83,4.82,4.82,131.14,0.0,0.2028397565923058
2023-02-24 20:00:00,4.84,4.85,4.84,4.84,319.45,0.004149377593360981,0.2028397565923058
2023-02-24 20:15:00,4.84,4.84,4.84,4.84,0.0,0.0,0.2028397565923058
2023-02-24 20:30:00,4.82,4.82,4.82,4.82,56.11,-0.004132231404958553,0.2028397565923058
2023-02-24 20:45:00,4.82,4.82,4.82,4.82,0.0,0.0,0.2028397565923058
2023-02-24 21:00:00,4.82,4.82,4.82,4.82,0.0,0.0,0.2028397565923058
2023-02-24 21:15:00,4.82,4.82,4.82,4.82,0.0,0.0,0.2028397565923058
2023-02-24 21:30:00,4.84,4.84,4.84,4.84,16.16,0.004149377593360981,0.2028397565923058
2023-02-24 21:45:00,4.82,4.82,4.82,4.82,72.77,-0.004132231404958553,0.2028397565923058
2023-02-24 22:00:00,4.85,4.86,4.85,4.86,105.38,0.008298755186721962,0.2028397565923058
2023-02-24 22:15:00,4.86,4.86,4.86,4.86,0.0,0.0,0.2028397565923058
2023-02-24 22:30:00,4.82,4.82,4.8,4.8,178.02,-0.012345679012345734,0.2028397565923058
2023-02-24 22:45:00,4.82,4.82,4.82,4.82,21.64,0.004166666666666874,0.2028397565923058
2023-02-24 23:00:00,4.83,4.84,4.83,4.84,60.66,0.004149377593360981,0.2028397565923058
2023-02-24 23:15:00,4.85,4.87,4.84,4.84,108.52,0.0,0.2028397565923058
2023-02-24 23:30:00,4.84,4.84,4.84,4.84,0.0,0.0,0.2028397565923058
2023-02-24 23:45:00,4.84,4.84,4.84,4.84,0.0,0.0,0.2028397565923058
2023-02-25 00:00:00,4.88,4.88,4.88,4.88,18.45,0.008264462809917328,0.2028397565923058
2023-02-25 00:15:00,4.88,4.88,4.88,4.88,0.0,0.0,0.2028397565923058
2023-02-25 00:30:00,4.85,4.87,4.85,4.87,46.77,-0.002049180327868827,0.2028397565923058
2023-02-25 00:45:00,4.85,4.9,4.83,4.9,581.18,0.006160164271047375,0.2028397565923058
2023-02-25 01:00:00,4.88,4.91,4.86,4.91,395.35,0.0020408163265306367,0.2028397565923058
2023-02-25 01:15:00,4.87,4.89,4.87,4.88,276.3,-0.006109979633401319,0.2028397565923058
2023-02-25 01:30:00,4.88,4.88,4.88,4.88,0.0,0.0,0.2028397565923058
2023-02-25 01:45:00,4.88,4.88,4.88,4.88,0.0,0.0,0.2028397565923058
2023-02-25 02:00:00,4.88,4.88,4.88,4.88,0.0,0.0,0.2028397565923058
2023-02-25 02:15:00,4.9,4.91,4.9,4.91,423.55,0.006147540983606703,0.2028397565923058
2023-02-25 02:30:00,4.91,4.94,4.88,4.88,349.9,-0.006109979633401319,0.2028397565923058
2023-02-25 02:45:00,4.9,4.92,4.9,4.92,162.05,0.008196721311475308,0.2028397565923058
2023-02-25 03:00:00,4.9,4.9,4.9,4.9,5.02,-0.004065040650406471,0.2028397565923058
2023-02-25 03:15:00,4.91,4.91,4.91,4.91,31.51,0.0020408163265306367,0.2028397565923058
2023-02-25 03:30:00,4.91,4.91,4.91,4.91,0.0,0.0,0.2028397565923058
2023-02-25 03:45:00,4.89,4.89,4.87,4.87,138.1,-0.008146639511201648,0.2028397565923058
2023-02-25 04:00:00,4.89,4.92,4.89,4.92,192.62,0.010266940451745254,0.2028397565923058
2023-02-25 04:15:00,4.92,4.92,4.88,4.89,406.96,-0.0060975609756097615,0.2028397565923058
2023-02-25 04:30:00,4.89,4.89,4.89,4.89,0.0,0.0,0.2028397565923058
2023-02-25 04:45:00,4.92,4.92,4.9,4.92,710.63,0.006134969325153339,0.2028397565923058
2023-02-25 05:00:00,4.9,4.9,4.89,4.9,698.86,-0.004065040650406471,0.2028397565923058
2023-02-25 05:15:00,4.89,4.96,4.89,4.91,1667.63,0.0020408163265306367,0.2028397565923058
2023-02-25 05:30:00,4.91,4.95,4.91,4.95,196.65,0.008146639511201537,0.2028397565923058
2023-02-25 05:45:00,4.96,4.96,4.95,4.95,98.68,0.0,0.2028397565923058
2023-02-25 06:00:00,4.93,4.94,4.89,4.93,538.52,-0.0040404040404041774,0.2028397565923058
2023-02-25 06:15:00,4.9,4.91,4.89,4.91,148.67,-0.0040567951318457585,0.2028397565923058
2023-02-25 06:30:00,4.91,4.91,4.89,4.91,838.03,0.0,0.2028397565923058
2023-02-25 06:45:00,4.9,4.9,4.88,4.88,799.68,-0.006109979633401319,0.2028397565923058
2023-02-25 07:00:00,4.91,4.92,4.91,4.91,132.87,0.006147540983606703,0.2028397565923058
2023-02-25 07:15:00,4.91,4.93,4.89,4.91,1055.23,0.0,0.2028397565923058
2023-02-25 07:30:00,4.9,4.96,4.89,4.94,876.69,0.006109979633401208,0.2028397565923058
2023-02-25 07:45:00,4.94,4.94,4.94,4.94,926.66,0.0,0.2028397565923058
2023-02-25 08:00:00,4.95,4.95,4.93,4.93,564.42,-0.002024291497975894,0.2028397565923058
2023-02-25 08:15:00,4.93,4.94,4.93,4.94,37.35,0.0020283975659229903,0.2028397565923058
2023-02-25 08:30:00,4.94,4.94,4.93,4.93,51.83,-0.002024291497975894,0.2028397565923058
2023-02-25 08:45:00,4.95,4.96,4.92,4.93,295.51,0.0,0.2028397565923058
2023-02-25 09:00:00,4.93,4.94,4.92,4.93,167.37,0.0,0.2028397565923058
2023-02-25 09:15:00,4.94,4.94,4.92,4.93,458.36,0.0,0.2028397565923058
2023-02-25 09:30:00,4.94,4.98,4.94,4.95,949.85,0.0040567951318459805,0.2028397565923058
2023-02-25 09:45:00,4.96,5.0,4.95,4.95,1010.18,0.0,0.2028397565923058
2023-02-25 10:00:00,4.97,5.0,4.96,5.0,839.82,0.010101010101010166,0.2028397565923058
2023-02-25 10:15:00,4.97,5.0,4.96,4.97,732.93,-0.006000000000000005,0.2028397565923058
2023-02-25 10:30:00,4.97,5.05,4.97,5.05,3980.08,0.016096579476861272,0.2028397565923058
2023-02-25 10:45:00,5.06,5.09,5.02,5.05,2604.09,0.0,0.2028397565923058
2023-02-25 11:00:00,5.04,5.09,5.02,5.02,2235.22,-0.005940594059405946,0.2028397565923058
2023-02-25 11:15:00,5.02,5.09,4.97,4.98,2362.93,-0.007968127490039723,0.2028397565923058
2023-02-25 11:30:00,4.97,4.97,4.92,4.93,1125.73,-0.010040160642570406,0.2028397565923058
2023-02-25 11:45:00,4.92,4.94,4.92,4.93,2082.08,0.0,0.2028397565923058
2023-02-25 12:00:00,4.93,4.94,4.92,4.93,2335.78,0.0,0.2028397565923058
2023-02-25 12:15:00,4.93,4.93,4.92,4.92,589.12,-0.0020283975659228792,0.2028397565923058
2023-02-25 12:30:00,4.92,4.93,4.92,4.92,3038.3,0.0,0.2028397565923058
2023-02-25 12:45:00,4.92,4.93,4.92,4.93,3608.67,0.00203252032520318,0.2028397565923058
2023-02-25 13:00:00,4.93,4.96,4.93,4.93,495.45,0.0,0.2028397565923058
2023-02-25 13:15:00,4.96,4.97,4.96,4.97,103.79,0.008113590263691739,0.2028397565923058
2023-02-25 13:30:00,4.96,4.96,4.93,4.95,671.65,-0.004024144869215207,0.2028397565923058
2023-02-25 13:45:00,4.96,4.96,4.94,4.94,167.73,-0.002020202020201922,0.2028397565923058
2023-02-25 14:00:00,4.94,4.94,4.92,4.94,523.06,0.0,0.2028397565923058
2023-02-25 14:15:00,4.94,4.94,4.94,4.94,0.0,0.0,0.2028397565923058
2023-02-25 14:30:00,4.94,4.94,4.94,4.94,0.0,0.0,0.2028397565923058
