NAME,TICKER
Ox Protocol,ZRX
1inch Token,1 INCH
Aave,AAVE                  
Aavegotchi Token,GHST                  
AC Milan Fan Token,ACM                   
Acala Token,ACA                   
AdEx Coin,ADX                       
Adventure Gold Token,AGLD                  
Aelf,ELF                       
Aergo Token,AERGO                 
Agrello Coin,DLT                       
AION                      ,AION
AirSwap Token,AST                       
Akropolis Token,AKRO                  
Alchemix Token,ALCX                  
Alchemy Pay Token ,ACH                 
Algorand,ALGO                
Alien Worlds Token,TLM                 
Alpaca Finance Token,ALPACA              
Alpha Finance Lab Token,ALPHA               
Alpine F1 Team Fan Token,ALPINE              
Ambire AdEx Token,ADXOLD              
Ambrosus,AMB                     
Amp Token,AMP                 
Ampleforth Governance Token,FORTH               
Anchor Protocol Token,ANC                 
Ankr Network Token,ANKR                
Anyswap Token,ANY                 
APENFT Token,NFT                 
API3 Token,API3                
AppCoins,APPC                    
Aragon Token [OLD],ANTOLD              
Aragon,ANT                 
Ardor Coin,ARDR                    
Arenum Token,ARN                 
Ark,ARK                     
ARPA Chain Token,ARPA                
Arweave Coin,AR                  
AS Roma Fan Token,ASR                 
Astar Token,ASTR                
Atletico De Madrid Fan Token,ATM                  
Audius Token,AUDIO                
Augur Coin,REP                  
Auto Token,AUTO                 
Automata Network Token,ATA                  
Avalanche Coin,AVAX                 
Axie Infinity Token,AXS                  
Badger DAO Token,BADGER               
BakerySwap Token,BAKE                 
Balancer Token,BAL                  
Bancor Protocol Token,BNT                      
Band Protocol Token,BAND                 
BarnBridge Token,BOND                 
Basic Attention Token,BAT                  
Beam Coin,BEAM                 
Beefy.Finance Token,BIFI                 
Bella Protocol Token,BEL                  
BENQI Token,QI                   
Beta Finance Token,BETA                 
Biconomy Token,BICO                 
BIDR Token,BIDR                 
Binance Coin,BNB                  
Binance GBP Stable Coin,BGBP                     
Binance USD     ,    BUSD            
BinaryX Token,BNX                  
Bitcoin Cash,BCH                 
Bitcoin Diamond,BCD                     
Bitcoin Gold,BTG                     
Bitcoin Standard Hashrate Token,BTCST               
Bitcoin,BTC                 
Bitmark,BTM                     
BitShares,BTS                     
BitTorrent Token (OLD),BTTOLD              
Blockmason Link Token,BLINK     
Bluzelle,BLZ                 
Boba Network Coin,BOBA                
Bodhi Token,BOT                     
BOLT Token,BOLT                
Bonfida Token,FIDA                
Bounce Token,AUCTION             
Bread Token,BRD                 
Burger Swap Token,BURGER              
bZx Protocol Token,BZRX                
CanYaCoin,CAN                 
Cardano Coin,ADA                 
Cartesi Token,CTSI                
Catapult Token,ATD                 
Celer Network Token,CELR                
Celo Coin,CELO                
CertiK Coin,CTK                 
ChainLink Coin,LINK                
ChatCoin,CHAT                
Chiliz Token,CHZ                 
Chromia Token,CHR                 
Cindicator Coin,CND                     
City coin,CITY                
Civic Coin,CVC
Clover Finance Token,CLV                 
Cobak Token,CBK                 
Cocos-BCX Token,COCOS               
Coin98 Token,C98                 
Compound Coin,COMP                
Conflux Network Token,CFX                 
ConstitutionDAO Token,PEOPLE              
Contentos Token,COS                 
Convex Finance Token,CVX                 
Cortex,CTXC                    
Cosmos Coin,ATOM                
COTI Coin,COTI                
Cream Finance Token,CREAM               
Creator Platform Token,CTR                 
Crypto.com Token,MCO                 
CryptoBonusMiles Token,CBM                 
Curve DAO Token,CRV                 
Dai,DAI                 
Dash,DASH                 
Decentraland Token,MANA                 
Decred Coin,DCR                  
Dego Finance Token,DEGO                 
Dentcoin,DENT                     
DeXe Token,DEXE                 
DFI.Money Token,YFII                 
dForce Token,DF                   
DIA Token,DIA                  
DigiByte,DGB                      
DigixDAO,DGD                      
district0x Coin,DNT                      
Dock Token,DOCK                 
Dodo Token,DODO                 
Dogecoin,DOGE                 
Donnie Finance Token,DON                  
DREP Token [old],DREPOLD                  
Drep Token,DREP                 
Dusk Network Token,DUSK                 
dYdX Token,DYDX                 
EasyFi Token,EASY                 
eCash Coin,XEC                  
Efinity Token                     , EFI  
eGold Token,EGLD                 
Eidoo Coin,EDO                      
Ellipsis Token,EPS                  
Enigma Token,ENG                  
Enjin Coin,ENJ                  
Enzyme Token,MLN                  
EOS Token,EOS                  
Ethereum Classic,ETC                      
Ethereum  Service Token,ENS                  
Ethereum,ETH                  
Ethernity Chain Token,ERN                  
Etherparty Token,FUEL                 
Everex Token,EVX                      
Everipedia Token,IQ                   
Fantom Token,FTM                  
FC Barcelona Fan Token,BAR                  
FC Porto Fan Token,PORTO                
Fetch.ai Token,FET                  
Filecoin,FIL                  
FIO Protocol Token,FIO                  
Firo Coin,FIRO                 
Flamingo Token,FLM                  
Flow Coin,FLOW                 
Flux Coin,FLUX                 
ForTube Token,FOR
Frax Share Token,FXS                  
Frontier Token,FRONT                
FTX Token,FTT                 
FunFair Coin,FUN                     
Gala Token,GALA                
Gas,GAS                     
Genesis Vision Coin,GVT                     
Gifto Coin,GTO                     
Gitcoin,GTC                 
Glimmer Coin,GLMR                
Gnosis Coin,GNO                     
GoChain Token,GO                  
Golem Coin,GLM                     
Green Metaverse Token,GMT                 
Groestlcoin,GRS                     
GYEN Token,GYEN                
HARD Protocol Token,HARD                
Harmony Coin,ONE                 
Harvest Finance Token,FARM                
Hedera Hashgraph Coin,HBAR                
Hegic Token,HEGIC               
Helium Coin,HNT                 
Highstreet Token,HIGH                
Hive Coin,HIVE                
Holo Token            ,HOT     
Honest Token,HNST                
Horizen Coin,ZEN                 
Hut34 Entropy Token,ENTRP                    
HyperCash Coin,HC                   
Icon,ICX                  
IDEX Token,IDEX                 
iExec RLC,RLC                      
Illuvium Token,ILV                  
Immutable X Token,IMX                  
Inflation Hedging Coin,IHC                  
Injective Protocol Token,INJ                  
Internet Computer Coin,ICP                  
IOStoken,IOST                     
IoTeX Token,IOTX                 
IRISnet Coin,IRIS                 
Jasmy Token,JASMY      
JOE Token,JOE                  
JUST Token,JST                  
Juventus Fan Token,JUV                  
Kava Token,KAVA                 
Keep Network Token,KEEP                 
Keep3rV1 Token,KP3R                 
KeyFi Token,KEYFI                
Klaytn Coin,KLAY                 
Komodo Coin                   , KMD   
Kusama Coin,KSM                  
Kyber Network Coin,KNC                      
Kyber Network Crystal Legacy Token,KNCL                 
Lazio Fan Token,LAZIO                
League of Kingdoms Arena Token,LOKA                 
Linear Token,LINA                 
Lisk Coin,LSK                  
Litecoin,LTC                  
Litentry Token,LIT                  
Livepeer Token,LPT                  
LLToken,LLT                      
Loom Network Token,LOOM                     
Loopring,LRC                  
Lord Token,LTT                      
LTO Network Token,LTO                  
Lunyr Coin,LUN                      
Mainframe Token,MFT                  
Maker,MKR                  
Mandala Exchange Token,MDXT                 
Manta Network Token,MANTA                    
Mantra DAO Token,OM                   
MAPS Token,MAPS                 
Marlin Token,POND                 
Mask Network Token,MASK                 
Matic Network Token,MATIC                
Mdex Coin,MDX                  
Measurable Data Token,MDT                     
MEET.ONE Token,MEETONE 
Merit Circle Token,MC                  
MetalCoin,MTL                     
Mettalex Token,MTLX                
Mina Coin,MINA                
Mines of Dalarnia Token,DAR                 
MIOTA,IOTA                
MIR Coin,MIR                 
Mithril Token,MITH                
MOBOX Token,MBOX                
Modum Token,MOD                     
Moeda Loyalty Points,MDA                     
Monero Coin,XMR                 
Monetha Coin,MTH                     
Moonriver Coin,MOVR                
MovieBloc Token,MBL                 
My Neighbor Alice Token,ALICE               
Nano Coin,XNO                 
NanoByte Token,NBT                 
NavCoin,NAV                     
NEAR Protocol Coin,NEAR                
Neblio Coin,NEBL                    
Nebulas,NAS                     
NEM Coin,XEM                 
NEO Token,NEO                 
NerveNetwork Coin,NVT                 
Nervos Network Coin,CKB                 
Neutrino Token,NSBT                
New BitShares Token,NBS                 
Nexus Coin,NXS                 
NKN Token,NKN                 
Nucleus Vision Coin,NCASH                   
NuCypher Token,NU                  
Nuls Coin,NULS                    
Numeraire Token,NMR                     
Oasis Network Coin,ROSE                
OAX Coin,OAX                     
Ocean Protocol Token,OCEAN               
OG Fan Token,OG                  
OmiseGO Coin,OMG                 
ONG Token,ONG                 
Ontology Coin,ONT                     
OnX Finance Token,ONX                 
Ooki Protocol Token,OOKI                
Orchid Token,OXT                 
Origin Protocol Token,OGN                 
Orion Protocol Token,ORN                 
PancakeSwap Token,CAKE                
Parallel Finance Token,PARA                    
